job_id,skill_name,category,taxonomy,confidence_score
5804007899,Recruitment Solutions,Business,HR & People,1.0
5804007899,Partnership Development,Business,Stakeholder & Customer,1.0
5804007899,Talent Sourcing,Business,HR & People,1.0
5804007899,Client Management,Business,Stakeholder & Customer,1.0
5804007899,Further Education Sector Knowledge,Domain,Education,1.0
5804007825,Art Direction,Technical,Creative & Design,1.0
5804007825,Creative Direction,Technical,Creative & Design,1.0
5804007825,Hybrid Work Management,Business,HR & People,0.7
5804007825,Contract Management,Business,Management,0.7
5804007825,Agency Management,Domain,Management,0.7
5804007138,High Throughput Screening,Technical,Life Sciences,1.0
5804007138,In Vivo Screening Assays,Technical,Life Sciences,1.0
5804007138,Compound Profiling,Technical,Life Sciences,1.0
5804007138,Plant Science,Domain,Life Sciences,1.0
5804007138,AgriTech,Domain,Life Sciences,1.0
5804007138,Biology,Domain,Life Sciences,1.0
5804006481,Light Vehicle Maintenance,Technical,Automotive,1.0
5804006481,Vehicle Repair,Technical,Automotive,0.7
5804006476,Customer Service,Soft Skill,Stakeholder & Customer,0.7
5804006476,Time Management,Soft Skill,Delivery Methods,0.5
5804006476,Adaptability,Soft Skill,Leadership Behaviour,0.5
5804006476,Retail Operations,Domain,Engineering & Operations,0.9
5804006478,Vehicle Maintenance,Domain,Automotive,1.0
5804006478,Vehicle Repair,Technical,Automotive,1.0
5804006478,Automotive Service,Domain,Automotive,1.0
5804006484,MOT Testing,Technical,Automotive,1.0
5804006484,Automotive Maintenance,Domain,Automotive,1.0
5804006484,Automotive Repair,Domain,Automotive,1.0
5804006484,Bonus Scheme Management,Business,HR & People,0.7
5804006357,Leadership,Soft Skill,Leadership Behaviour,1.0
5804006357,Estate Agency Management,Domain,HR & People,1.0
5804006357,Team Management,Soft Skill,Management,0.7
5804006357,Career Development,Business,HR & People,0.7
5804006328,Leadership,Soft Skill,Leadership Behaviour,1.0
5804006328,Estate Agency Management,Domain,HR & People,1.0
5804006328,Team Management,Soft Skill,Management,0.7
5804006328,Career Development,Business,HR & People,0.7
5804004336,Time Management,Soft Skill,Delivery Methods,0.7
5804004336,Adaptability,Soft Skill,Leadership Behaviour,0.7
5804004336,Higher Education,Domain,Education,0.9
5804004336,Funding Management,Business,Commercial,0.5
5803995094,Customer Service Management,Business,Stakeholder & Customer,1.0
5803995094,Team Management,Soft Skill,Management,0.7
5803995094,Retail Management,Domain,Management,1.0
5803995094,Stakeholder Management,Business,Stakeholder & Customer,0.7
5803995094,Customer Relationship Building,Business,Stakeholder & Customer,1.0
5803995095,Customer Service Management,Business,Stakeholder & Customer,1.0
5803995095,Team Management,Soft Skill,Management,0.7
5803995095,Retail Management,Domain,Management,1.0
5803995095,Stakeholder Management,Business,Stakeholder & Customer,0.7
5803995095,Relationship Building,Soft Skill,Stakeholder & Customer,0.7
5803995084,Mental Health Support,Domain,Healthcare,1.0
5803995084,Substance Abuse Counselling,Domain,HR & People,1.0
5803995086,Psychological Support,Domain,HR & People,1.0
5803995086,Person-Centred Approach,Methodology,Communication,1.0
5803995086,Mental Health Support,Domain,Healthcare,1.0
5803995086,Trauma Support,Domain,Healthcare,1.0
5803995086,Community-Based Support,Domain,Healthcare,1.0
5803995083,Person-Centred Approach,Methodology,Communication,1.0
5803995083,Psychological Support,Domain,HR & People,1.0
5803995083,Mental Health Support,Domain,Healthcare,1.0
5803995083,Trauma Support,Domain,Healthcare,1.0
5803995083,Neurodiversity support,Domain,HR & People,1.0
5803995083,Community-Based Support,Domain,Healthcare,1.0
5803994281,Standard Operating Procedures,Methodology,Engineering & Operations,1.0
5803994281,Continuous Improvement,Methodology,Process Improvement,1.0
5803994281,Team Leadership,Business,Leadership Behaviour,0.7
5803994281,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994276,Order Picking,Technical,Logistics,1.0
5803994276,Packing,Technical,Logistics,1.0
5803994276,Vehicle Loading,Technical,Automotive,1.0
5803994276,Inventory Management,Technical,Logistics,0.7
5803994276,Logistics,Domain,Logistics,0.7
5803994276,Customer Service,Soft Skill,Stakeholder & Customer,0.7
5803994279,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994279,DBS Check,Technical,HR & People,1.0
5803994277,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994277,Packing and Assembly,Technical,Engineering & Operations,1.0
5803994277,Logistics and Distribution,Domain,Logistics,0.7
5803994280,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994280,Parcel Handling,Technical,Logistics,1.0
5803994280,Scanning and Sorting,Technical,Engineering & Operations,1.0
